open,review_count,longitude,stars,latitude
True,7,-79.9007057,3.5,40.3543266
True,5,-79.8868138,3.0,40.3505527
False,5,-80.0146597,2.5,40.3541155
True,26,-79.8662107,4.5,40.4088301
True,3,-79.8557821,5.0,40.4034049
True,23,-80.0675491,4.0,40.4154859
True,9,-80.0844539,2.5,40.394588
False,4,-80.0762665,4.0,40.4054039
True,3,-80.0903905,2.5,40.4062805
True,7,-80.0691338,4.0,40.3922071
True,4,-80.0858661,4.5,40.4068423
True,3,-80.0824517,3.5,40.3983526
True,10,-80.0932152,3.5,40.3875124
True,5,-80.0932152,4.0,40.3875124
True,3,-80.0833664,3.5,40.4099977
True,3,-80.0843536574327,3.0,40.3688246816964
False,4,-80.089241,3.0,40.388284
True,10,-80.0849416,4.0,40.3964688
True,69,-80.0834577,4.5,40.3980013
True,9,-80.089985,4.0,40.404638
True,11,-80.088557,3.5,40.417419
False,8,-80.085279,3.5,40.40867
True,4,-80.0849338,2.5,40.408832
True,10,-80.0876046,4.5,40.4068712
True,6,-80.0937037,3.0,40.3868915
True,8,-80.078657,2.5,40.39076
True,10,-80.0849615,2.5,40.4083473
True,3,-80.0878979,3.5,40.3905694
True,16,-80.073788,3.5,40.39114
True,8,-80.060154,3.0,40.394305
True,81,-80.085153,3.5,40.4081527
True,3,-79.958717,2.5,40.495167
True,6,-80.0889587402344,1.5,40.4704573375885
True,4,-79.9105266,2.0,40.4067047
True,12,-79.9098858,2.0,40.412012
True,25,-79.916958,3.5,40.407091
True,3,-79.9036345,2.5,40.3846329
True,3,-79.8737336,5.0,40.3736775
True,12,-79.9037778,3.0,40.4140637
True,4,-79.9163491,4.5,40.4075854
True,60,-79.9044562,2.0,40.413496
False,7,-79.9124082,3.5,40.4116978
True,32,-79.9152619,3.5,40.4094353
True,13,-79.912788,4.5,40.40682
True,11,-79.9016982,3.0,40.4126484
True,33,-79.912595,3.5,40.405311
True,106,-79.9141865,2.5,40.4092932
True,3,-79.9075019,1.5,40.413831
True,7,-79.9017997,3.0,40.4097098
True,7,-79.913802,4.5,40.39877
True,6,-79.9000102,2.5,40.3925524
True,148,-79.9152619,3.5,40.4094353
True,3,-79.9069188,3.5,40.4023107
True,45,-79.9148773,3.0,40.4089186
